,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,8,genre,kind
7,9,mois,month
8,10,frère,brother
9,11,laisser,let
10,12,car,because
11,13,mettre,to put
12,14,aucun,no
13,16,eux,them
14,17,ville,city
15,18,chaque,each
16,19,parlé,speak
17,20,arrivé,come
18,21,devrait,should
19,22,bébé,baby
20,23,longtemps,long time
21,24,heures,hours
22,25,vont,will
23,26,pendant,while
24,27,revoir,meet again
25,29,place,square
26,30,parle,speak
27,31,compris,understood
28,32,savais,knew
29,33,étaient,were
30,34,attention,Warning
31,35,voici,here is
32,36,pourrais,could
33,37,affaire,case
34,39,type,type
35,40,leurs,their
36,41,donné,given
37,42,train,train
38,43,corps,body
39,44,endroit,place
40,45,yeux,eyes
41,46,façon,way
42,47,écoute,listen
43,48,dont,whose
44,49,trouve,find
45,50,premier,first
46,51,perdu,lost
47,52,main,hand
48,53,première,first
49,54,côté,side
50,55,pouvoir,power
51,56,vieux,old
52,57,sois,be
53,58,tiens,here
54,59,matin,morning
55,60,tellement,so much
56,61,enfant,child
57,62,point,point
58,63,venu,came
59,64,suite,after
60,65,pardon,sorry
61,66,venez,come
62,67,devant,in front of
63,68,vers,towards
64,69,minutes,minutes
65,71,chambre,bedroom
66,72,mis,placed
67,73,belle,beautiful
68,74,droit,law
69,76,aujourd'hui,today
70,77,mari,husband
71,78,cause,cause
72,79,enfin,finally
73,80,espère,hope
74,81,eau,water
75,83,parti,left
76,85,boulot,job
77,86,arrêter,Stop
78,87,dirait,would say
79,88,terre,Earth
80,89,compte,account
81,91,loin,far
82,92,fin,end
83,93,croire,believe
84,94,chérie,sweetheart
85,95,gros,large
86,96,plutôt,rather
87,97,aura,will have
88,98,filles,girls
89,99,jouer,to play
